species	p	r
d_Archaea|p_Euryarchaeota|c_Halobacteria|o_Halobacteriales|f_Haloarculaceae|g_Halapricum|s_Halapricum salinum	0.0195557429289239	0.517093777437214
d_Archaea|p_Euryarchaeota|c_Halobacteria|o_Haloferacales|f_Haloferacaceae|g_Halogeometricum|s_Halogeometricum borinquense	0.0289231755386775	-0.488320765599438
d_Archaea|p_Euryarchaeota|c_Halobacteria|o_Haloferacales|f_Haloferacaceae|g_Haloplanus|s_Haloplanus sp. CBA1112	0.0447744017145546	0.453197911493887
d_Archaea|p_Euryarchaeota|c_Halobacteria|o_Haloferacales|f_Haloferacaceae|g_Haloquadratum|s_Haloquadratum walsbyi	0.0179954411568873	0.522914080719021
d_Archaea|p_Euryarchaeota|c_Halobacteria|o_Natrialbales|f_Natrialbaceae|g_Natrinema|s_Natrinema pallidum	0.00944533229252617	0.564951341328107
d_Archaea|p_Euryarchaeota|c_Halobacteria|o_Natrialbales|f_Natrialbaceae|g_Natrinema|s_Natrinema pellirubrum	0.000625996957982316	0.69770644945296
d_Archaea|p_Euryarchaeota|c_Halobacteria|o_Natrialbales|f_Natrialbaceae|g_Natrinema|s_Natrinema sp. J7-2	0.00101564936869693	0.678129825851184
d_Archaea|p_Euryarchaeota|c_Halobacteria|o_Natrialbales|f_Natrialbaceae|g_Natronorubrum|s_Natronorubrum aibiense	0.0334599517571011	0.476984528203818
d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae|g_Methanobacterium|s_Methanobacterium lacus	0.0322119863822883	0.479976484138789
d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae|g_Methanobrevibacter|s_Methanobrevibacter sp. AbM4	0.00647998293497073	0.587261750196375
d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae|g_Methanobrevibacter|s_Methanobrevibacter sp. YE315	0.0402827194220992	0.462011210177073
d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae|g_Methanosphaera|s_Methanosphaera sp. BMS	0.000399496685644428	0.714626729525788
d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae|g_Methanosphaera|s_Methanosphaera stadtmanae	0.0414329730656473	0.459684671320459
d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanobacteriaceae|g_Methanothermobacter|s_Methanothermobacter marburgensis	0.000165602313259264	0.744706060901553
d_Archaea|p_Euryarchaeota|c_Methanobacteria|o_Methanobacteriales|f_Methanothermaceae|g_Methanothermus|s_Methanothermus fervidus	0.0128497057192419	0.545529894168317
d_Archaea|p_Euryarchaeota|c_Methanococci|o_Methanococcales|f_Methanocaldococcaceae|g_Methanocaldococcus|s_Methanocaldococcus infernus	0.000345322702354298	0.719876539865486
d_Archaea|p_Euryarchaeota|c_Methanococci|o_Methanococcales|f_Methanocaldococcaceae|g_Methanocaldococcus|s_Methanocaldococcus jannaschii	0.00126585710993729	0.668720800485816
d_Archaea|p_Euryarchaeota|c_Methanococci|o_Methanococcales|f_Methanocaldococcaceae|g_Methanotorris|s_Methanotorris igneus	0.000640625954619828	0.696804724026052
d_Archaea|p_Euryarchaeota|c_Methanococci|o_Methanococcales|f_Methanococcaceae|g_Methanococcus|s_Methanococcus aeolicus	0.016815882345125	0.527588112663106
d_Archaea|p_Euryarchaeota|c_Methanococci|o_Methanococcales|f_Methanococcaceae|g_Methanococcus|s_Methanococcus vannielii	0.00079673127674978	0.688133200459286
d_Archaea|p_Euryarchaeota|c_Methanomicrobia|o_Methanosarcinales|f_Methanosarcinaceae|g_Methanohalophilus|s_Methanohalophilus portucalensis	0.00187047340003422	0.651206220436612
d_Archaea|p_Euryarchaeota|c_Methanomicrobia|o_Methanosarcinales|f_Methanosarcinaceae|g_Methanolobus|s_Methanolobus zinderi	0.0380277928974038	0.466725641109748
d_Archaea|p_Euryarchaeota|c_Methanomicrobia|o_Methanosarcinales|f_Methanosarcinaceae|g_Methanosarcina|s_Methanosarcina mazei	0.00809912719264207	0.574241908423013
d_Archaea|p_Euryarchaeota|c_Thermococci|o_Thermococcales|f_Thermococcaceae|g_Pyrococcus|s_Pyrococcus horikoshii	0.0117396457013977	0.55134886749709
d_Archaea|p_Euryarchaeota|c_Thermococci|o_Thermococcales|f_Thermococcaceae|g_Pyrococcus|s_Pyrococcus sp. ST04	0.0173329265810619	0.52550802529492
d_Archaea|p_Euryarchaeota|c_Thermococci|o_Thermococcales|f_Thermococcaceae|g_Thermococcus|s_Thermococcus profundus	0.00906765986711755	0.567442730715098
d_Archaea|p_Euryarchaeota|c_Thermoplasmata|o_Methanomassiliicoccales|f_Methanomassiliicoccaceae|g_Candidatus Methanoplasma|s_Candidatus Methanoplasma termitum	0.00346043958003084	0.621235644274383
d_Archaea|p_Euryarchaeota|g_Aciduliprofundum|s_Aciduliprofundum sp. MAR08-339	0.00255448236265966	0.636406437137833
d_Archaea|p_Thaumarchaeota|c_Nitrososphaeria|o_Nitrososphaerales|f_Nitrososphaeraceae|g_Candidatus Nitrosocosmicus|s_Candidatus Nitrosocosmicus exaquare	0.0422195129079037	0.458122385368106
d_Archaea|p_Thaumarchaeota|c_Nitrososphaeria|o_Nitrososphaerales|f_Nitrososphaeraceae|g_Candidatus Nitrosocosmicus|s_Candidatus Nitrosocosmicus franklandus	0.0110330100014238	0.5552893557307
d_Archaea|p_Thaumarchaeota|g_Candidatus Nitrosotenuis|s_Candidatus Nitrosotenuis cloacae	0.0493416887856019	0.444909016157774
d_Archaea|p_Thaumarchaeota|o_Nitrosopumilales|f_Nitrosopumilaceae|g_Nitrosopumilus|s_Nitrosopumilus adriaticus	0.00103200128016419	0.677458333655611
d_Archaea|p_Thaumarchaeota|o_Nitrosopumilales|f_Nitrosopumilaceae|g_Nitrosopumilus|s_Nitrosopumilus piranensis	0.0080374322098127	0.574697087408539
d_Bacteria|g_Vampirococcus|s_Vampirococcus sp. LiM	0.00281125712039672	0.631702610928158
d_Bacteria|p_Acidobacteria|c_Acidobacteriia|o_Acidobacteriales|f_Acidobacteriaceae|g_Acidisarcina|s_Acidisarcina polymorpha	0.0390026194861654	0.464661654135338
d_Bacteria|p_Acidobacteria|c_Acidobacteriia|o_Acidobacteriales|f_Acidobacteriaceae|g_Edaphobacter|s_Edaphobacter sp. 12200R-103	0.00268320650231623	0.634001453036138
d_Bacteria|p_Actinobacteria|c_Acidimicrobiia|o_Acidimicrobiales|f_Ilumatobacteraceae|g_Ilumatobacter|s_Ilumatobacter coccineus	0.023959782775763	0.502454800509869
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces naeslundii	0.0158171855520826	0.531755469325483
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces sp. oral taxon 897	0.0489389617096888	0.445615639711127
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Arcanobacterium|s_Arcanobacterium haemolyticum	0.0027358690262716	0.633045190873408
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Arcanobacterium|s_Arcanobacterium phocae	0.0337806358098744	0.476229805849065
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Mobiluncus|s_Mobiluncus curtisii	0.00707396971369192	0.582204760599974
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Pauljensenia|s_Pauljensenia hongkongensis	0.0358962456387673	0.47138607674638
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Schaalia|s_Schaalia meyeri	0.000844687433630137	0.685759099838717
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Trueperella|s_Trueperella pyogenes	0.042247619801173	0.458066974853403
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium gallinarum	0.040457634341481	0.461654135338346
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Candidatus Nanopelagicales|f_Candidatus Nanopelagicaceae|g_Candidatus Nanopelagicus|s_Candidatus Nanopelagicus abundans	0.0113537020378649	0.553476452439245
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Candidatus Nanopelagicales|f_Candidatus Nanopelagicaceae|g_Candidatus Planktophila|s_Candidatus Planktophila limnetica	0.0113828983716753	0.553313471564746
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium callunae	0.0240144136988337	0.502287141137172
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium efficiens	0.0449313983176208	0.452902438464911
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium phocae	0.00977701041731442	0.56282935421311
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium resistens	0.00202468366207157	0.647515638233298
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Gordoniaceae|g_Gordonia|s_Gordonia sp. 135	0.0344804651120213	0.474601991552852
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Gordoniaceae|g_Gordonia|s_Gordonia sp. JH63	0.00983478377797262	0.562465741565318
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycobacterium|s_Mycobacterium haemophilum	0.0278781798881888	0.491127947993367
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycobacterium|s_Mycobacterium intracellulare	0.0133044245842322	0.543263068626509
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycobacterium|s_Mycobacterium leprae	0.0151727119491276	0.534558206773751
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycobacterium|s_Mycobacterium pseudoshottsii	0.00871721854044961	0.569831262940345
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycobacterium|s_Mycobacterium sp. DL592	0.0211015827360575	0.511681789879658
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycobacterium|s_Mycobacterium sp. PYR15	0.0294039710775865	0.487055909158914
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycobacterium|s_Mycobacterium sp. YC-RL4	0.00373914509795594	0.617237879329602
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycobacteroides|s_[Mycobacterium] stephanolepidis	0.00101612006644706	0.678110369590044
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycolicibacterium|s_Mycolicibacterium helvum	0.014650958171494	0.536898199233497
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycolicibacterium|s_Mycolicibacterium phocaicum	0.00913105332843875	0.567018715319528
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycolicibacterium|s_Mycolicibacterium sarraceniae	0.0410576528009363	0.460438252748853
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Mycobacteriaceae|g_Mycolicibacterium|s_Mycolicibacterium thermoresistibile	0.0327377949949289	0.478705021020152
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Nocardiaceae|g_Rhodococcus|s_Rhodococcus aetherivorans	0.0307518876382934	-0.483594406900449
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Nocardiaceae|g_Rhodococcus|s_Rhodococcus coprophilus	0.00921221393013259	0.566479347285351
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Nocardiaceae|g_Rhodococcus|s_Rhodococcus imtechensis	0.000278687189810309	0.727397214158306
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Nocardiaceae|g_Rhodococcus|s_Rhodococcus sp. B7740	0.0235922736660382	0.50359060077696
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Frankiales|f_Frankiaceae|g_Frankia|s_Candidatus Frankia datiscae	0.0232372969950942	0.504701051111057
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Glycomycetales|f_Glycomycetaceae|g_Stackebrandtia|s_Stackebrandtia nassauensis	0.023056545293631	0.505271657343165
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Brevibacteriaceae|g_Brevibacterium|s_Brevibacterium linens	0.0311882300137763	0.482499366646676
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Brevibacteriaceae|g_Brevibacterium|s_Brevibacterium sp. o2	0.0303021235458337	0.484735950418831
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Cellulomonadaceae|g_Cellulomonas|s_Cellulomonas sp. 40-2	0.0285649591672435	0.489273928736879
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Dermabacteraceae|g_Dermabacter|s_Dermabacter hominis	0.00412280116072626	0.612120660741581
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Intrasporangiaceae|g_Serinicoccus|s_Serinicoccus chungangensis	0.00861108204588657	0.570570100193175
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Intrasporangiaceae|g_Serinicoccus|s_Serinicoccus marinus	0.00122229669593114	0.670238895379087
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Aurantimicrobium|s_Aurantimicrobium minutum	0.0194690215024443	0.517407355784551
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Leucobacter|s_Leucobacter sp. HDW9A	0.00158089550806403	0.658886289381921
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microbacterium|s_Microbacterium oleivorans	0.00539261289040252	0.597599349650043
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microbacterium|s_Microbacterium protaetiae	0.0174991152712257	0.524849992799085
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microbacterium|s_Microbacterium sp. LKL04	0.00520443604275898	0.599559713754686
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microbacterium|s_Microbacterium sp. TPU 3598	0.00331072798149676	0.623494682980835
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microcella|s_Microcella alkaliphila	0.00422679041280946	0.610801793146268
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Mycetocola|s_Mycetocola sp. 449	0.0243322716385114	0.501317594675018
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Rathayibacter|s_Rathayibacter sp. VKM Ac-2762	0.0082078919577111	0.573446303626395
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Salinibacterium|s_Salinibacterium sp. UTAS2018	0.011804353046439	0.550997716669839
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Arthrobacter|s_Arthrobacter sp. AQ5-05	0.000364764695035578	0.717916638770996
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Arthrobacter|s_Arthrobacter sp. U41	0.0438304991319301	0.454991390638766
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Arthrobacter|s_Arthrobacter sp. ZXY-2	0.0113558441584779	0.553464483080814
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Auritidibacter|s_Auritidibacter sp. NML130574	0.0303652209706998	0.484575005498987
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Glutamicibacter|s_Glutamicibacter creatinolyticus	0.0463180873256273	0.450326549236995
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Pseudarthrobacter|s_Pseudarthrobacter sp. NIBRBAC000502771	0.0143137685953799	0.538446346371087
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Micrococcaceae|g_Rothia|s_Rothia dentocariosa	0.00720863976096447	0.581106881515186
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Promicromonosporaceae|g_Cellulosimicrobium|s_Cellulosimicrobium sp. TH-20	0.0482720668907805	0.446795634013703
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Ruaniaceae|g_Haloactinobacterium|s_Haloactinobacterium sp. HY164	0.0131515258739126	0.544018212695292
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|g_Tropheryma|s_Tropheryma whipplei	0.0276125916265809	0.491854568343616
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micromonosporales|f_Micromonosporaceae|g_Actinoplanes|s_Actinoplanes sp. OR16	0.0217800362113495	0.509405712302507
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micromonosporales|f_Micromonosporaceae|g_Actinoplanes|s_Actinoplanes teichomyceticus	0.00942449100546963	0.565086691195248
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micromonosporales|f_Micromonosporaceae|g_Micromonospora|s_Micromonospora aurantiaca	0.0355965107929514	0.472058564044956
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micromonosporales|f_Micromonosporaceae|g_Micromonospora|s_Micromonospora sp. WMMA2032	0.0185179750504425	0.520921526810906
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micromonosporales|f_Micromonosporaceae|g_Micromonospora|s_Micromonospora tulbaghiae	0.0425181539774032	0.457535088561976
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micromonosporales|f_Micromonosporaceae|g_Plantactinospora|s_Plantactinospora sp. BB1	0.0319663056855055	0.480576138025205
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micromonosporales|f_Micromonosporaceae|g_Verrucosispora|s_Verrucosispora sp. NA02020	0.00256028354275287	0.636295902317398
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Propionibacteriales|f_Nocardioidaceae|g_Nocardioides|s_Nocardioides sp. HY056	0.000930233196972771	0.681793368020768
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Propionibacterium|s_Propionibacterium australiense	0.00429586889145503	0.609940450742121
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Pseudopropionibacterium|s_Pseudopropionibacterium propionicum	0.0479005506883646	0.447458420595078
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces clavuligerus	0.0340734010461222	0.475545657570435
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces coelicolor	0.00886510644145111	0.568813918476342
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces luteoverticillatus	0.014130417699741	0.539300527044155
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces sp. 2323.1	0.0395483875173458	0.46352352183068
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces sp. 604F	0.00283292813674291	0.631322224303078
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces sp. NA02950	0.0315642796179672	0.481565222856137
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces sp. NA03103	0.0222169559983871	0.507969578541355
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces sp. RLB3-17	0.0355558547151119	0.472150119550032
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces sp. TN58	0.0369380842386187	0.469082073954902
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces sp. Tu 2975	0.0260556182315608	0.496228660381971
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces sp. Tu6071	0.0124794539464258	0.547423980037817
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces violaceusniger	0.00461461146166222	0.606108404567248
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Streptomycetales|f_Streptomycetaceae|g_Streptomyces|s_Streptomyces viridifaciens	0.015234321389801	0.534286185747526
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae|g_Adlercreutzia|s_Adlercreutzia equolifaciens	0.0153370468002174	-0.533834586466165
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae|g_Adlercreutzia|s_Adlercreutzia sp. 8CFCBH1	0.0240246894652156	-0.502255639097744
d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Eggerthellales|f_Eggerthellaceae|g_Eggerthella|s_Eggerthella lenta	0.0492252966921177	-0.445112781954887
d_Bacteria|p_Actinobacteria|c_Nitriliruptoria|o_Egicoccales|f_Egicoccaceae|g_Egicoccus|s_Egicoccus halophilus	0.00137314250186422	0.665161254857666
d_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales|f_Aquificaceae|g_Thermocrinis|s_Thermocrinis ruber	0.0124476658263414	0.547588704378887
d_Bacteria|p_Aquificae|c_Aquificae|o_Aquificales|f_Hydrogenothermaceae|g_Sulfurihydrogenibium|s_Sulfurihydrogenibium azorense	0.00205411924873284	0.646838082947509
d_Bacteria|p_Aquificae|c_Aquificae|o_Desulfurobacteriales|f_Desulfurobacteriaceae|g_Thermovibrio|s_Thermovibrio ammonificans	0.0315642796179672	0.481565222856137
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Marinilabiliales|f_Marinifilaceae|g_Labilibaculum|s_Labilibaculum antarcticum	0.0292021767268833	0.487584788141838
d_Bacteria|p_Bacteroidetes|c_Chitinophagia|o_Chitinophagales|f_Chitinophagaceae|g_Arachidicoccus|s_Arachidicoccus sp. B3-10	0.00684423496658595	0.584117797999721
d_Bacteria|p_Bacteroidetes|c_Chitinophagia|o_Chitinophagales|f_Chitinophagaceae|g_Chitinophaga|s_Chitinophaga sp. 1310	0.0337515176823021	0.476298103231148
d_Bacteria|p_Bacteroidetes|c_Chitinophagia|o_Chitinophagales|f_Chitinophagaceae|g_Filimonas|s_Filimonas lacunae	0.042247619801173	0.458066974853403
d_Bacteria|p_Bacteroidetes|c_Cytophagia|o_Cytophagales|f_Amoebophilaceae|g_Candidatus Cardinium|s_Cardinium endosymbiont of Sogatella furcifera	0.00106310152116479	0.676205586131389
d_Bacteria|p_Bacteroidetes|c_Cytophagia|o_Cytophagales|f_Cytophagaceae|g_Allopseudarcicella|s_Allopseudarcicella aquatilis	0.0382081219674882	0.466340762576535
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Blattabacteriaceae|g_Blattabacterium|s_Blattabacterium cuenoti	0.00681818682727405	0.584338012068995
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Blattabacteriaceae|g_Blattabacterium|s_Blattabacterium sp. (Blaberus giganteus)	0.0235147659218909	0.503831928105845
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Blattabacteriaceae|g_Blattabacterium|s_Blattabacterium sp. (Cryptocercus kyebangensis)	0.01182289309087	0.550897391527677
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Blattabacteriaceae|g_Blattabacterium|s_Blattabacterium sp. DPU	0.0286655978809391	0.489005198788187
